|__SUBDIVISION,|__YEAR,|__ANNUAL,|__JF,|__MAM,|__JJAS,|__OND
Andaman & Nicobar Islands,1901,3373.2,136.3,560.3,1696.3,980.3
Andaman & Nicobar Islands,1902,3520.7,159.8,458.3,2185.9,716.7
Andaman & Nicobar Islands,1903,2957.4,156.7,236.1,1874,690.6
Andaman & Nicobar Islands,1904,3079.6,24.1,506.9,1977.6,571
Andaman & Nicobar Islands,1905,2566.7,1.3,309.7,1624.9,630.8
Andaman & Nicobar Islands,1906,2534.4,36.6,556.1,1465.8,475.9
Andaman & Nicobar Islands,1907,3347.9,110.7,751.2,1327.1,1158.9
Andaman & Nicobar Islands,1908,3576.4,106,591,2303.7,575.7
Andaman & Nicobar Islands,1910,2899.4,49.3,520.1,1701,629
Andaman & Nicobar Islands,1911,2687.2,8.4,449.8,1553.6,675.4
Andaman & Nicobar Islands,1912,2960.5,584.5,162.6,1775.2,438.2
Andaman & Nicobar Islands,1913,2365.8,85.3,194.5,1596.7,489.3
Andaman & Nicobar Islands,1914,2957.8,0,336.5,2007.4,613.9
Andaman & Nicobar Islands,1915,2741.3,101.7,244.4,1350.7,1044.5
Andaman & Nicobar Islands,1916,2937.5,0,487.9,1753.6,696
Andaman & Nicobar Islands,1917,2612.4,11.6,412.4,1605.1,583.3
Andaman & Nicobar Islands,1918,3275,84.3,751.4,1670.4,768.9
Andaman & Nicobar Islands,1919,2352.1,28.2,319.4,1219.5,785
Andaman & Nicobar Islands,1920,2943.2,129.7,253.5,1814.1,745.9
Andaman & Nicobar Islands,1921,2606.4,16.3,388.7,1681,520.4
Andaman & Nicobar Islands,1922,3554.2,279.6,628.4,1751,895.2
Andaman & Nicobar Islands,1923,NA,79.5,NA,2188,399.9
Andaman & Nicobar Islands,1924,NA,28.7,295.7,1296.6,NA
Andaman & Nicobar Islands,1925,2480.5,36.6,341.2,1385.7,717
Andaman & Nicobar Islands,1926,3282.2,122.1,198.9,1808.3,1152.9
Andaman & Nicobar Islands,1927,2442.9,20.5,630.5,1124.8,667.1
Andaman & Nicobar Islands,1928,2998.3,118.5,709.5,1612.8,557.5
Andaman & Nicobar Islands,1929,2926.6,192.6,515.6,1540.4,678
Andaman & Nicobar Islands,1930,3075.1,192.8,373.6,1975.4,533.3
Andaman & Nicobar Islands,1931,2357.7,25.3,210.4,1548.2,573.8
Andaman & Nicobar Islands,1932,NA,5.3,548,NA,NA
Andaman & Nicobar Islands,1933,2987.5,16.2,431.9,1973.9,565.5
Andaman & Nicobar Islands,1934,3722.8,180.2,200.3,2717.9,624.4
Andaman & Nicobar Islands,1935,3154,6.6,860.9,1733.3,553.2
Andaman & Nicobar Islands,1936,NA,31.8,NA,2109.8,586.3
Andaman & Nicobar Islands,1937,3591.1,32.3,442.5,1863.8,1252.5
Andaman & Nicobar Islands,1938,3264.4,70.6,521,1930.6,742.2
Andaman & Nicobar Islands,1939,2782.5,55.6,573.9,1591.9,561.1
Andaman & Nicobar Islands,1940,3007.5,3.3,380.1,1970.2,653.9
Andaman & Nicobar Islands,1941,2898.2,12.8,329.7,1627.4,928.3
Andaman & Nicobar Islands,1942,NA,46.6,NA,NA,NA
Andaman & Nicobar Islands,1946,2791.6,88,465.4,1570.6,667.6
Andaman & Nicobar Islands,1947,NA,136.2,397.2,NA,612.1
Andaman & Nicobar Islands,1949,3489.6,56.4,572.3,2433.2,427.7
Andaman & Nicobar Islands,1950,2422.2,0.8,359.7,1578.4,483.3
Andaman & Nicobar Islands,1951,3275.1,89.9,304.4,1747.4,1133.4
Andaman & Nicobar Islands,1952,3079.9,0.8,562,1824.8,692.3
Andaman & Nicobar Islands,1953,2721.9,121.3,420.5,1627.1,552.9
Andaman & Nicobar Islands,1954,3449,85.9,487,2419.4,456.7
Andaman & Nicobar Islands,1955,3349.6,85.5,742.2,1648.3,873.6
Andaman & Nicobar Islands,1956,3080,126.4,656,1604.4,693.3
Andaman & Nicobar Islands,1957,2507.2,47.3,166,1833.6,460.3
Andaman & Nicobar Islands,1958,2807.4,37.2,410.2,1710.4,649.6
Andaman & Nicobar Islands,1959,3343.3,11.9,356.1,2271.7,703.6
Andaman & Nicobar Islands,1960,3025,176.6,601,1563,684.5
Andaman & Nicobar Islands,1961,3938.2,181.5,1094.5,1857.3,805
Andaman & Nicobar Islands,1962,2959.7,167.3,374.1,1671.9,746.4
Andaman & Nicobar Islands,1963,2981.7,106.7,336.8,1953.5,584.7
Andaman & Nicobar Islands,1964,3054.8,87.4,551.8,1745.9,669.8
Andaman & Nicobar Islands,1965,3163.8,42.2,368.5,1774.3,978.8
Andaman & Nicobar Islands,1966,2701.2,83.9,427.6,1372.1,817.6
Andaman & Nicobar Islands,1967,3216.4,186.2,609.7,1796.4,624.1
Andaman & Nicobar Islands,1968,2762.8,23.4,383.3,1803.3,552.8
Andaman & Nicobar Islands,1969,2619,171,352.7,1539.1,556.3
Andaman & Nicobar Islands,1970,3370.8,106.2,488.7,1738.2,1037.7
Andaman & Nicobar Islands,1971,2998.6,74.3,471,1613.7,839.6
Andaman & Nicobar Islands,1972,3323,15.3,605.9,1844,857.7
Andaman & Nicobar Islands,1973,2991.1,38.5,478.7,1587.8,886.1
Andaman & Nicobar Islands,1974,2962,66,672,1378.7,845.3
Andaman & Nicobar Islands,1975,3085.7,304.4,395.2,1589.1,797
Andaman & Nicobar Islands,1976,3276,30.6,713.5,1698.2,833.7
Andaman & Nicobar Islands,1977,2388.2,122.9,288.3,1492.9,484.1
Andaman & Nicobar Islands,1978,2712.4,138.9,425.9,1775.9,371.6
Andaman & Nicobar Islands,1979,1849.4,44.9,215,1242.5,347
Andaman & Nicobar Islands,1980,3625.3,6.3,776.5,1946.3,896.3
Andaman & Nicobar Islands,1981,3074.8,38.9,366.7,1908,761.2
Andaman & Nicobar Islands,1982,2384.5,11.6,333.3,1575.8,463.8
Andaman & Nicobar Islands,1983,2792.4,22.1,253,1892.4,624.9
Andaman & Nicobar Islands,1984,2820.3,243.2,345.2,1280.7,951.2
Andaman & Nicobar Islands,1985,2630.8,31.2,357.2,1557,685.4
Andaman & Nicobar Islands,1986,2187.8,15.4,312.3,1473.6,386.5
Andaman & Nicobar Islands,1987,2764,107.6,200.9,1434.5,1021
Andaman & Nicobar Islands,1988,3323,50.1,538.1,1810.5,924.3
Andaman & Nicobar Islands,1989,2533.6,68.8,490,1424.1,550.7
Andaman & Nicobar Islands,1990,2183.4,13.6,536.8,1108,525.1
Andaman & Nicobar Islands,1991,2535.8,18,352.2,1689.3,476.2
Andaman & Nicobar Islands,1992,2098.7,86.8,246.8,1436.2,328.8
Andaman & Nicobar Islands,1993,2237.4,14.9,355,1312.5,555
Andaman & Nicobar Islands,1994,3262.8,42.6,687.2,2191.5,341.5
Andaman & Nicobar Islands,1995,3115.4,64.3,348.1,1933.9,769.2
Andaman & Nicobar Islands,1996,2996.9,57,424.1,1764.3,751.5
Andaman & Nicobar Islands,1997,2755.1,9.5,296.9,1988.8,459.9
Andaman & Nicobar Islands,1998,2846.4,0.9,348.9,1561.2,935.4
Andaman & Nicobar Islands,1999,2699.7,91.4,542.2,1358,708.1
Andaman & Nicobar Islands,2000,2763.2,112,812.2,1244.2,594.7
Andaman & Nicobar Islands,2001,3080.9,104.7,878.7,1515.4,582
Andaman & Nicobar Islands,2002,2620.2,10.7,478.4,1525.6,605.5
Andaman & Nicobar Islands,2003,2355.9,52.2,465,1406.1,432.5
Andaman & Nicobar Islands,2004,2460.1,90.4,583.2,1392.2,394.2
Andaman & Nicobar Islands,2005,2954.7,0,376.8,1700.4,877.5
Andaman & Nicobar Islands,2006,2404.7,30.7,534,1314.9,525.2
Andaman & Nicobar Islands,2007,2748,6.5,429.6,1793.1,518.9
Andaman & Nicobar Islands,2008,3374.8,77.6,877.3,1783.1,636.8
Andaman & Nicobar Islands,2009,2538.6,30.8,493.7,1627.1,386.9
Andaman & Nicobar Islands,2010,3157.1,109.8,332.2,1797.8,917.3
Andaman & Nicobar Islands,2011,3828,350.7,710.7,2165,601.6
Andaman & Nicobar Islands,2012,3497.6,165.6,620.5,2014,697.5
Andaman & Nicobar Islands,2013,3757.8,104.7,598.6,2152.1,902.4
Andaman & Nicobar Islands,2014,2622.4,50.5,249.1,1618.7,704.2
Andaman & Nicobar Islands,2015,2904.6,134.4,473.2,1678.6,618.4
Andaman & Nicobar Islands,2016,2851.9,87.8,198.9,1562.6,1002.6
Andaman & Nicobar Islands,2017,2890,234.2,417.1,1526,712.6
Arunachal Pradesh,1916,NA,117.9,811.8,NA,NA
Arunachal Pradesh,1917,NA,185.9,NA,2772.8,262.8
Arunachal Pradesh,1918,5486.3,21.4,1196.9,4121.3,146.7
Arunachal Pradesh,1919,4693.9,102.3,706,2888,997.6
Arunachal Pradesh,1920,4106.7,210.3,1143.9,2649.2,103.3
Arunachal Pradesh,1921,5691.4,133.2,1136.3,4155.5,266.4
Arunachal Pradesh,1922,4187.2,110.1,820.4,2723.9,532.8
Arunachal Pradesh,1923,3507.5,170.2,720.3,2555.7,61.3
Arunachal Pradesh,1924,4450.5,130.8,752.2,3232.3,335.2
Arunachal Pradesh,1925,4439.8,194.6,953.5,3129.3,162.4
Arunachal Pradesh,1926,3521.6,78.9,676.9,2386.4,379.4
Arunachal Pradesh,1927,5253.2,256.8,636.1,3805.3,555
Arunachal Pradesh,1928,5272.7,88.6,673.5,3849.2,661.4
Arunachal Pradesh,1929,4320.2,204.1,1232.4,2521.8,362
Arunachal Pradesh,1930,4334.1,148.7,916.8,2789.5,479.1
Arunachal Pradesh,1931,4872.1,251,1012,3367.7,241.3
Arunachal Pradesh,1932,4850.9,180.5,1049.8,3177.1,443.5
Arunachal Pradesh,1933,3773.3,115.4,804.8,2586.5,266.6
Arunachal Pradesh,1934,4575.7,173.2,1177.9,2984,240.6
Arunachal Pradesh,1935,4173.7,161.8,680.9,3237.5,93.6
Arunachal Pradesh,1936,4788.9,281.1,822.2,3218.6,467
Arunachal Pradesh,1937,3375.1,125.5,751.2,2224.6,273.8
Arunachal Pradesh,1938,6129,266.4,1042.3,4534.5,285.8
Arunachal Pradesh,1939,3898.7,154.2,815.5,2757.6,171.4
Arunachal Pradesh,1940,4099.3,181.2,996.2,2710.7,211.3
Arunachal Pradesh,1941,4220.2,139.1,1055.7,2870.3,155.2
Arunachal Pradesh,1942,3828.2,180.7,1169.1,2436.6,41.9
Arunachal Pradesh,1943,4326.7,210.8,1265.4,2629.2,221.3
Arunachal Pradesh,1944,3904.3,140.1,972.9,2383,408.4
Arunachal Pradesh,1945,3649.3,151.2,800.2,2480.1,217.7
Arunachal Pradesh,1946,4011.2,75.1,1011.2,2679.9,245.1
Arunachal Pradesh,1947,4369.1,106.3,1113.2,2816.9,332.6
Arunachal Pradesh,1948,6331.1,155.1,1745.8,4206,224.2
Arunachal Pradesh,1949,4874.7,168.1,1291.5,3100.5,314.6
Arunachal Pradesh,1950,NA,131.4,905.2,NA,449.4
Arunachal Pradesh,1951,3354.2,97.1,1095.3,1974.7,187.1
Arunachal Pradesh,1952,2396.1,41.7,576.2,1446.7,331.5
Arunachal Pradesh,1953,NA,163.3,765.8,1617.5,NA
Arunachal Pradesh,1957,NA,NA,NA,2875.9,204.3
Arunachal Pradesh,1958,5063.5,165.9,870,3338.7,688.9
Arunachal Pradesh,1959,4195.5,221.1,922.7,2792.6,259.1
Arunachal Pradesh,1960,3709.4,34.8,401,3236.8,36.8
Arunachal Pradesh,1961,3676.5,254.2,962.9,2137.9,321.5
Arunachal Pradesh,1962,NA,124.3,897.3,3475.2,NA
Arunachal Pradesh,1963,4138,49.8,777.6,3138.5,172.1
Arunachal Pradesh,1964,4959.3,145.7,587.2,3896.1,330.3
Arunachal Pradesh,1965,2196.8,158.1,665,1244.7,129
Arunachal Pradesh,1966,2209.6,113.8,456.5,1515.1,124.2
Arunachal Pradesh,1967,1668.5,58.8,408.5,1121.2,80
Arunachal Pradesh,1968,2139,95.7,560.7,1385.9,96.8
Arunachal Pradesh,1969,1877.7,29.2,363.1,1392.7,92.8
Arunachal Pradesh,1970,1973.4,128,379.7,1320.2,145.5
Arunachal Pradesh,1971,2184.5,123.8,391.3,1359.3,310.2
Arunachal Pradesh,1972,2281.3,153.5,639.3,1357.9,130.7
Arunachal Pradesh,1973,2457.5,283.5,554,1385.5,234.4
Arunachal Pradesh,1974,3063.9,226.3,648.7,2023.5,165.4
Arunachal Pradesh,1975,2213.3,94.2,454.8,1177.7,486.6
Arunachal Pradesh,1976,2419.5,121.8,608,1416.7,273.1
Arunachal Pradesh,1977,3774.3,204.6,1187.3,1950.2,432.2
Arunachal Pradesh,1978,2531,119.3,712.6,1417.4,281.6
Arunachal Pradesh,1979,2773.6,129,507.2,1619.2,518.3
Arunachal Pradesh,1980,3215.3,195.9,868.9,1957.1,193.3
Arunachal Pradesh,1981,2790.9,229.2,737.6,1667.4,156.7
Arunachal Pradesh,1982,2779.5,106.8,727.9,1746.4,198.3
Arunachal Pradesh,1983,3335.3,236.5,870.7,1980.6,247.4
Arunachal Pradesh,1984,3278,140.8,1004.9,1853,279.3
Arunachal Pradesh,1985,3266.2,135,948.2,1992.2,190.7
Arunachal Pradesh,1986,2495.6,109.5,559.8,1599.1,227.2
Arunachal Pradesh,1987,3433.2,76.2,730.4,2461.9,164.8
Arunachal Pradesh,1988,4155.3,169.2,1065.4,2457,463.6
Arunachal Pradesh,1989,3281.6,224.5,721.2,1956.8,379.1
Arunachal Pradesh,1990,3604,167.2,805.1,2369.5,262.3
Arunachal Pradesh,1991,3434.4,110.9,727.7,2303.9,291.9
Arunachal Pradesh,1992,2707,162.1,620.3,1702.7,221.8
Arunachal Pradesh,1993,3348.9,221.1,673.3,2203.7,250.8
Arunachal Pradesh,1994,2287.4,120.8,830.3,1154.4,181.9
Arunachal Pradesh,1995,3068.8,100.5,647.1,2155.2,166
Arunachal Pradesh,1996,2520.5,91.8,733.1,1472.5,223
Arunachal Pradesh,1997,2274.9,94.6,465.8,1583.7,130.7
Arunachal Pradesh,1998,3616.7,105.6,593.6,2707.4,210.2
Arunachal Pradesh,1999,2316.6,14,543.2,1519,240.4
Arunachal Pradesh,2000,2596.8,101.2,700.8,1650,144.8
Arunachal Pradesh,2001,2036,119.7,560.5,1147.8,208
Arunachal Pradesh,2002,2389.2,111.4,571.6,1549.4,156.9
Arunachal Pradesh,2003,2451.8,106.1,465.2,1656.6,223.9
Arunachal Pradesh,2004,2545.7,77.1,684.3,1578.7,205.6
Arunachal Pradesh,2005,2335.5,216,604.6,1343.7,171.2
Arunachal Pradesh,2006,2259.6,109.7,587.7,1393.5,168.7
Arunachal Pradesh,2007,3020.7,110.8,590.9,2185.1,133.9
Arunachal Pradesh,2008,2244.4,116.4,499.9,1508.7,119.4
Arunachal Pradesh,2009,1749.9,110.8,394.7,1111.8,132.7
Arunachal Pradesh,2010,2855.7,13.9,1017.5,1653.6,170.9
Arunachal Pradesh,2011,2193.7,91.4,634.9,1384.2,83.3
Arunachal Pradesh,2012,3440.3,93.6,724.9,2325.6,296.3
Arunachal Pradesh,2013,2042.9,59,626,1165.9,192
Arunachal Pradesh,2014,2403.2,120.9,466,1750.8,65.4
Arunachal Pradesh,2015,2767.5,78.3,623.5,1936.9,128.8
Arunachal Pradesh,2016,2706.9,102.6,740.4,1678.2,185.7
Arunachal Pradesh,2017,2745.3,94.4,827,1583.5,240.3
Assam & Meghalaya,1901,2498.6,46.6,460.5,1710.9,280.5
Assam & Meghalaya,1902,2952.1,19.4,717.6,2108.9,106.2
Assam & Meghalaya,1903,2544.7,45.4,450.8,1828.5,220.1
Assam & Meghalaya,1904,2664.1,67.1,884.2,1548,164.8
Assam & Meghalaya,1905,2790.6,36.8,626.3,1886,241.6
Assam & Meghalaya,1906,2663.4,68.9,623.3,1780.4,190.8
Assam & Meghalaya,1907,2521.1,93,578.1,1793.8,56.2
Assam & Meghalaya,1908,2277.8,41.3,530,1610.8,95.7
Assam & Meghalaya,1909,2377,27.9,509.8,1646,193.3
Assam & Meghalaya,1910,2887.3,41.3,638.9,1986.9,220.2
Assam & Meghalaya,1911,3096.2,93.2,758.7,1957.5,286.8
Assam & Meghalaya,1912,2743.5,66.8,677.4,1739.9,259.5
Assam & Meghalaya,1913,2760.5,102.2,844.9,1529.7,283.7
Assam & Meghalaya,1914,2343.8,85.5,607.4,1565.4,85.6
Assam & Meghalaya,1915,3165.1,68.2,939.2,2035.1,122.6
Assam & Meghalaya,1916,2601.1,48,686.9,1582.1,284
Assam & Meghalaya,1917,2519.9,104.4,413.6,1717.4,284.4
Assam & Meghalaya,1918,3106.8,20.7,565.1,2442.5,78.6
Assam & Meghalaya,1919,2344.2,25.5,451.6,1635.3,231.9
Assam & Meghalaya,1920,2623.6,55.8,695.6,1737.6,134.6
Assam & Meghalaya,1921,2999.7,55.4,873.6,1909.8,160.9
Assam & Meghalaya,1922,2261.9,21.4,479.6,1612.3,148.7
Assam & Meghalaya,1923,2440.6,60,673,1592.1,115.4
Assam & Meghalaya,1924,2691.4,33.3,541.3,1862.8,254
Assam & Meghalaya,1925,2550.5,47.9,934.2,1465,103.4
Assam & Meghalaya,1926,2511.7,46.6,551.6,1679.7,233.8
Assam & Meghalaya,1927,2793.1,94.3,569.7,1937.9,191.2
Assam & Meghalaya,1928,2634.3,29.4,646.4,1640.5,317.9
Assam & Meghalaya,1929,2953.8,87.7,976,1654.4,235.7
Assam & Meghalaya,1930,2550.7,59,509,1712.4,270.4
Assam & Meghalaya,1931,2800.1,36.7,716.3,1872.4,174.7
Assam & Meghalaya,1932,2888.7,51.5,711,1906.3,219.9
Assam & Meghalaya,1933,2339.1,39.2,517.7,1649.2,132.9
Assam & Meghalaya,1934,3074.9,86.8,773,1916.3,298.9
Assam & Meghalaya,1935,2678.4,56.6,570.1,2001,50.8
Assam & Meghalaya,1936,2671.3,72.2,716.3,1655.9,226.8
Assam & Meghalaya,1937,2324.6,53.3,523.4,1590.3,157.6
Assam & Meghalaya,1938,2786.5,43.4,587.3,1958.2,197.6
Assam & Meghalaya,1939,2401.6,35.1,539.2,1632.5,194.9
Assam & Meghalaya,1940,2451.6,59.4,645.3,1620.3,126.6
Assam & Meghalaya,1941,2709.5,37.2,821.2,1681,170
Assam & Meghalaya,1942,2677,32.7,833.5,1743.4,67.5
Assam & Meghalaya,1943,2703.7,88.4,824.9,1688.1,102.3
Assam & Meghalaya,1944,2524.3,60.4,719.9,1637.2,106.8
Assam & Meghalaya,1945,2665.7,76.7,603.5,1785,200.5
Assam & Meghalaya,1946,2679.5,19.8,609.2,1694.2,356.4
Assam & Meghalaya,1947,2643.3,12.9,707.6,1704.6,218.3
Assam & Meghalaya,1948,3185.4,52.5,1001.1,1896.8,234.9
Assam & Meghalaya,1949,2983.4,45.9,782.9,1982.1,172.4
Assam & Meghalaya,1950,2392.4,72.5,488.5,1643.1,188.4
Assam & Meghalaya,1951,2613.8,8.2,546.9,1736.3,322.5
Assam & Meghalaya,1952,2851.3,14.8,729,1785.2,322.4
Assam & Meghalaya,1953,2559.9,31.3,762.4,1603.4,162.9
Assam & Meghalaya,1954,2859.1,67.6,796.9,1812.6,182
Assam & Meghalaya,1955,2761.2,18.7,682.5,1812.6,247.4
Assam & Meghalaya,1956,2802.9,33,859.9,1706.7,203.3
Assam & Meghalaya,1957,2257.2,100.4,605.4,1428.6,122.8
Assam & Meghalaya,1958,2626.4,63,747.9,1579.8,235.7
Assam & Meghalaya,1959,2535.8,76.4,724.6,1424.6,310.1
Assam & Meghalaya,1960,2342.2,11.2,399.9,1837,94
Assam & Meghalaya,1961,2195.3,31.2,732.6,1261.7,169.8
Assam & Meghalaya,1962,2295.9,52.5,521.1,1587.3,135
Assam & Meghalaya,1963,2511.8,11.2,522.8,1797.1,180.7
Assam & Meghalaya,1964,2729.6,32.2,646.4,1824.8,226.2
Assam & Meghalaya,1965,2398.9,78.7,537.7,1626.7,155.7
Assam & Meghalaya,1966,2789.3,43.6,524.1,2053.9,167.7
Assam & Meghalaya,1967,2123.4,48.8,505.4,1452.9,116.3
Assam & Meghalaya,1968,2530.8,42.7,681.3,1666.8,140
Assam & Meghalaya,1969,2332.2,29.2,532.4,1660.3,110.2
Assam & Meghalaya,1970,3048.4,82.8,787.9,1913.5,264.3
Assam & Meghalaya,1971,2315.1,55.3,416.8,1551.3,291.6
Assam & Meghalaya,1972,2379.1,57.6,698.9,1515.3,107.3
Assam & Meghalaya,1973,2672.1,92.6,605.5,1742.6,231.4
Assam & Meghalaya,1974,3403.5,43,703.8,2356.3,300.4
Assam & Meghalaya,1975,2270.6,32.3,567.9,1473.9,196.5
Assam & Meghalaya,1976,1956,42.1,411.5,1407.8,94.6
Assam & Meghalaya,1977,2616.6,25.2,841.1,1505.2,245.2
Assam & Meghalaya,1978,2011.9,13.2,399,1478.2,121.6
Assam & Meghalaya,1979,2188.5,12,357.7,1542.6,276.3
Assam & Meghalaya,1980,2289.2,49.3,559.6,1537.1,143.2
Assam & Meghalaya,1981,2079.3,60.3,494.6,1431.8,92.7
Assam & Meghalaya,1982,2382.2,32.9,520.4,1720.6,108.3
Assam & Meghalaya,1983,2620,54.2,534.1,1844.2,187.6
Assam & Meghalaya,1984,3157,29.7,647.4,2292.5,187.5
Assam & Meghalaya,1985,2801.6,41,755.7,1895.1,109.9
Assam & Meghalaya,1986,2592.8,28.1,470.6,1726.6,367.5
Assam & Meghalaya,1987,2921.4,36.5,506.9,2170.6,207.3
Assam & Meghalaya,1988,3261.7,53.4,808.9,2151,248.5
Assam & Meghalaya,1989,2682.1,62,473.8,1929.5,216.8
Assam & Meghalaya,1990,2771.2,66.1,734.4,1750.2,220.5
Assam & Meghalaya,1991,2838,43.9,733.6,1783.8,276.7
Assam & Meghalaya,1992,2259.8,61.1,468.8,1578.5,151.4
Assam & Meghalaya,1993,2879.2,170.2,598.6,1969.9,140.5
Assam & Meghalaya,1994,2121.3,69.1,600.5,1273.4,178.3
Assam & Meghalaya,1995,2886.1,48.5,486.8,2169,181.8
Assam & Meghalaya,1996,2466.9,36,616.4,1543.5,271
Assam & Meghalaya,1997,2372.2,58.9,465.6,1763.4,84.3
Assam & Meghalaya,1998,2803.1,43.4,573.1,1947.4,239.2
Assam & Meghalaya,1999,2594.2,2.9,656.1,1710.2,225
Assam & Meghalaya,2000,2487,34.2,679.5,1666.6,106.6
Assam & Meghalaya,2001,2178.4,45.2,495.8,1413.2,224.2
Assam & Meghalaya,2002,2392.7,25.9,650.2,1589.8,126.8
Assam & Meghalaya,2003,2434.1,51,546.5,1573.3,263.4
Assam & Meghalaya,2004,2994.3,34.8,755.9,1849.7,353.9
Assam & Meghalaya,2005,2468.3,53.3,660.9,1525.2,228.9
Assam & Meghalaya,2006,1898.6,41.5,515.5,1208.1,133.5
Assam & Meghalaya,2007,2752.8,75.2,486.1,1975.1,216.4
Assam & Meghalaya,2008,2339.7,44.2,474.4,1683.9,137.2
Assam & Meghalaya,2009,2068.2,19.5,426.2,1473.5,149
Assam & Meghalaya,2010,2711.5,3.7,882.3,1690.2,135.3
Assam & Meghalaya,2011,1743.4,22.5,439.4,1236,45.6
Assam & Meghalaya,2012,2609.4,22.1,493.7,1874.8,218.8
Assam & Meghalaya,2013,1816.4,10.7,503.5,1172.9,129.3
Assam & Meghalaya,2014,2206.1,30.3,431.9,1705.5,38.5
Assam & Meghalaya,2015,2470.9,28.9,620.9,1729.3,91.8
Assam & Meghalaya,2016,2266.9,34.8,726,1323.9,182.1
Assam & Meghalaya,2017,2711.7,39.5,695.9,1742.7,233.5
Naga Mani Mizo Tripura,1901,2168.4,29.8,359.6,1544.8,234.2
Naga Mani Mizo Tripura,1902,2175,5.2,549.7,1504,116
Naga Mani Mizo Tripura,1903,2230.7,47,345.1,1595.4,243.2
Naga Mani Mizo Tripura,1904,2519.8,49.3,568.3,1678.2,224
Naga Mani Mizo Tripura,1905,2527.6,44.5,661.8,1539.8,281.5
Naga Mani Mizo Tripura,1906,2514.4,78.5,474.2,1770.9,190.9
Naga Mani Mizo Tripura,1907,2121.7,69.5,437.9,1442.4,171.9
Naga Mani Mizo Tripura,1908,2319.3,41.4,397.5,1581.3,299.1
Naga Mani Mizo Tripura,1909,2308.7,10.7,439.9,1549.9,308.1
Naga Mani Mizo Tripura,1910,2267.9,36.9,397,1625.8,208.3
Naga Mani Mizo Tripura,1911,2479.8,59.1,574.9,1602,243.7
Naga Mani Mizo Tripura,1912,2308.8,37.7,656.2,1394.9,220
Naga Mani Mizo Tripura,1913,2613.2,67.7,512.2,1717.1,316.2
Naga Mani Mizo Tripura,1914,2529.2,98.4,662.1,1543.5,225.2
Naga Mani Mizo Tripura,1915,2819.9,49.4,737.2,1764.1,269.2
Naga Mani Mizo Tripura,1916,2555,30.7,381.6,1663.1,479.6
Naga Mani Mizo Tripura,1917,2222.2,83.1,436.4,1491.4,211.3
Naga Mani Mizo Tripura,1918,3013.3,9.9,725.3,2145.5,132.5
Naga Mani Mizo Tripura,1919,2047.9,35.6,301,1509.7,201.6
Naga Mani Mizo Tripura,1920,2375.8,61.9,584.3,1582.7,146.9
Naga Mani Mizo Tripura,1921,2638.2,70.9,628.8,1644.7,293.8
Naga Mani Mizo Tripura,1922,2462.6,13,318.7,1916.2,214.8
Naga Mani Mizo Tripura,1923,2685.5,64.9,525.8,1781.5,313.3
Naga Mani Mizo Tripura,1924,2701.7,48.8,480.1,1779.7,393
Naga Mani Mizo Tripura,1925,2447.5,79.4,616.2,1544.3,207.7
Naga Mani Mizo Tripura,1926,2463.2,94.1,562.3,1567.7,239.1
Naga Mani Mizo Tripura,1927,2887.5,145,662,1852.7,227.9
Naga Mani Mizo Tripura,1928,2472.4,32.8,426.7,1722,291
Naga Mani Mizo Tripura,1929,2859.4,46,723.7,1930.4,159.4
Naga Mani Mizo Tripura,1930,2487.4,76.3,491.6,1587,332.5
Naga Mani Mizo Tripura,1931,2461.1,55.8,530.1,1573.3,302.1
Naga Mani Mizo Tripura,1932,2761.7,75.7,584.8,1870.5,230.6
Naga Mani Mizo Tripura,1933,2451.8,22.2,499.7,1802.8,127.1
Naga Mani Mizo Tripura,1934,3040.8,151.1,561.3,1890.6,437.9
Naga Mani Mizo Tripura,1935,2543.3,48.8,388.2,1946.1,160.1
Naga Mani Mizo Tripura,1936,2917.1,92.4,821.6,1765,238.2
Naga Mani Mizo Tripura,1937,2741.6,60.1,459.8,1924.7,297
Naga Mani Mizo Tripura,1938,2971.6,58.4,716.4,1841.2,355.6
Naga Mani Mizo Tripura,1939,2608.3,61.8,512.6,1803.1,230.8
Naga Mani Mizo Tripura,1940,2526.7,74.8,592,1673.4,186.5
Naga Mani Mizo Tripura,1941,2966.2,77.2,853.8,1839.7,195.5
Naga Mani Mizo Tripura,1942,2680.9,21.7,634.4,1814.6,210.1
Naga Mani Mizo Tripura,1943,2427.9,97.2,485.2,1758.8,86.7
Naga Mani Mizo Tripura,1944,2877.3,111.6,520.2,2130,115.6
Naga Mani Mizo Tripura,1945,3051.9,129.6,592.3,2057.7,272.2
Naga Mani Mizo Tripura,1946,3036.2,19.1,779.2,1868.2,369.6
Naga Mani Mizo Tripura,1947,3210.2,7.3,594.6,2271.1,337.3
Naga Mani Mizo Tripura,1948,2822.1,70.6,729.3,1807.2,215.1
Naga Mani Mizo Tripura,1949,2976.3,20.6,857.3,1914.9,183.5
Naga Mani Mizo Tripura,1950,2423,72.1,374.3,1647.5,329.1
Naga Mani Mizo Tripura,1951,2609.3,4.1,656.3,1562.7,386.2
Naga Mani Mizo Tripura,1952,2810.9,16.1,651.2,1742.7,400.9
Naga Mani Mizo Tripura,1953,2661.6,23.8,641.9,1825.9,169.9
Naga Mani Mizo Tripura,1954,2905.1,65.2,503.3,2031.2,305.4
